                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6042,                 1.3177,                 1.4204,                  0.809,                0.77219,                0.83486,                0.45012,                 1.5234,                0.92445,                 1.3339,               0.070068,              0.0033258,              0.0033258
                      1,                  1.479,                0.99739,                 1.2678,                0.80612,                0.72049,                0.81269,                0.42783,                 1.5797,                0.98422,                 1.3659,               0.040002,              0.0065932,              0.0065932
                      2,                  1.525,                 1.1225,                 1.2948,                0.72824,                0.65179,                0.72148,                0.38206,                 1.5639,                 1.2315,                 1.3185,              0.0098699,              0.0097946,              0.0097946
                      3,                 1.5629,                 1.2397,                  1.317,                0.70649,                0.63739,                0.70216,                0.37061,                 1.5569,                 1.2765,                 1.3527,               0.009703,               0.009703,               0.009703
                      4,                 1.5549,                 1.2072,                 1.3179,                0.76198,                0.67233,                0.75712,                0.40081,                 1.5622,                 1.1686,                  1.371,               0.009703,               0.009703,               0.009703
                      5,                 1.5375,                 1.1389,                 1.3161,                0.81083,                0.69736,                0.79991,                0.44383,                 1.5002,                 1.0281,                 1.3141,               0.009604,               0.009604,               0.009604
                      6,                 1.5167,                 1.1068,                 1.2985,                0.81755,                0.69783,                0.80374,                0.44425,                 1.5102,                 1.0089,                 1.3495,               0.009505,               0.009505,               0.009505
                      7,                 1.4847,                 1.0514,                  1.286,                0.81666,                0.72356,                0.81975,                0.45781,                 1.4827,                0.99042,                 1.3039,               0.009406,               0.009406,               0.009406
                      8,                 1.4618,                 1.0168,                 1.2708,                0.82694,                0.74903,                0.84174,                0.46794,                 1.5025,                0.92456,                 1.3394,               0.009307,               0.009307,               0.009307
                      9,                 1.4515,                0.98503,                 1.2764,                0.82898,                0.73465,                0.83577,                0.47256,                 1.4881,                0.92609,                 1.3358,               0.009208,               0.009208,               0.009208
                     10,                 1.4337,                0.95864,                 1.2643,                0.84076,                0.75567,                0.85091,                0.49199,                 1.4459,                0.85323,                    1.3,               0.009109,               0.009109,               0.009109
