                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7087,                 2.1968,                 1.4778,                0.71902,                0.61095,                0.69318,                0.35513,                 1.6247,                 1.4462,                 1.4563,                0.07018,              0.0033134,              0.0033134
                      1,                 1.5757,                 1.3988,                  1.318,                0.70341,                0.59347,                0.68018,                0.35494,                 1.6028,                 1.3834,                 1.3316,               0.040114,              0.0065809,              0.0065809
                      2,                 1.5897,                 1.3959,                 1.2736,                0.51073,                0.47096,                 0.4668,                0.21467,                 1.7481,                 1.9678,                 1.4534,               0.009982,              0.0097824,              0.0097824
                      3,                 1.6326,                 1.4785,                 1.2946,                0.64113,                  0.539,                0.59638,                0.29749,                 1.6381,                 2.0138,                 1.2658,               0.009703,               0.009703,               0.009703
                      4,                 1.6158,                 1.4007,                 1.2768,                0.65225,                0.50118,                0.56219,                0.27979,                 1.7006,                 1.6301,                 1.3278,               0.009703,               0.009703,               0.009703
                      5,                 1.5936,                 1.3251,                 1.2661,                0.70634,                0.57129,                0.65927,                0.34895,                 1.6209,                 1.3573,                 1.3276,               0.009604,               0.009604,               0.009604
                      6,                 1.5602,                 1.2669,                 1.2485,                0.72848,                0.56053,                0.65408,                0.35097,                 1.5874,                 1.3946,                 1.2627,               0.009505,               0.009505,               0.009505
                      7,                 1.5411,                 1.2311,                 1.2421,                0.75408,                0.58996,                0.68775,                0.36297,                 1.6112,                 1.3234,                 1.2949,               0.009406,               0.009406,               0.009406
                      8,                 1.5113,                 1.1968,                 1.2255,                0.75337,                0.59797,                0.69269,                0.38474,                  1.534,                 1.3478,                 1.2569,               0.009307,               0.009307,               0.009307
                      9,                 1.5138,                 1.1708,                 1.2224,                0.75562,                0.65722,                0.73539,                0.38995,                 1.5798,                 1.2326,                 1.2487,               0.009208,               0.009208,               0.009208
                     10,                 1.4944,                 1.1483,                 1.2122,                0.79797,                0.65652,                0.76788,                0.42412,                 1.5368,                 1.1401,                 1.2723,               0.009109,               0.009109,               0.009109
                     11,                 1.4727,                 1.1133,                 1.2058,                0.80021,                0.66336,                0.76853,                0.41462,                 1.5518,                 1.1226,                 1.2495,                0.00901,                0.00901,                0.00901
                     12,                 1.4678,                 1.0941,                 1.2047,                0.79341,                0.65038,                0.75195,                0.40766,                 1.5657,                 1.1695,                 1.2627,               0.008911,               0.008911,               0.008911
                     13,                 1.4597,                 1.0753,                 1.1908,                  0.824,                0.69631,                0.80713,                0.45568,                 1.4687,                 1.0391,                 1.2212,               0.008812,               0.008812,               0.008812
